Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154211782","48046304","3","","2018-01-01 00:00:00",""
"154211783","48046293","2","","2018-01-01 00:00:00",""
"154211785","48046339","2","","2018-01-01 00:00:00",""
"154211787","12934468","2","","2018-01-01 00:00:00",""
"154211788","4088524","2","","2018-01-01 00:00:00",""
"154211789","48046371","10","","2018-01-01 00:00:00",""
"154211790","48046318","2","","2018-01-01 00:00:00",""
"154211791","48046334","10","","2018-01-01 00:00:00",""
"154211792","36507481","2","","2018-01-01 00:00:00",""
"154211793","48044734","16","","2018-01-01 00:00:00",""
"154211794","48046371","10","","2018-01-01 00:00:00",""
"154211795","48046091","11","","2018-01-01 00:00:00",""
"154211796","48046330","3","","2018-01-01 00:00:00",""
"154211797","48038721","2","","2018-01-01 00:00:00",""
"154211798","47769041","2","","2018-01-01 00:00:00",""
"154211799","39807456","2","","2018-01-01 00:00:00",""
"154211800","47768982","2","","2018-01-01 00:00:00",""
"154211801","47768982","5","573891","2018-01-01 00:00:00",""
"154211802","48025760","2","","2018-01-01 00:00:00",""
"154211803","47994704","2","","2018-01-01 00:00:00",""
"154211804","48045576","2","","2018-01-01 00:00:00",""
"154211805","4947213","10","","2018-01-01 00:00:00",""
"154211806","48046277","3","","2018-01-01 00:00:00",""
"154211807","48040347","2","","2018-01-01 00:00:00",""
"154211808","48026848","10","","2018-01-01 00:00:00",""
"154211809","48045147","2","","2018-01-01 00:00:00",""
"154211810","48046293","2","","2018-01-01 00:00:00",""
"154211811","33853856","2","","2018-01-01 00:00:00",""
"154211812","45395884","2","","2018-01-01 00:00:00",""
"154211813","48046269","2","","2018-01-01 00:00:00",""
"154211814","48046292","2","","2018-01-01 00:00:00",""
"154211815","48046203","2","","2018-01-01 00:00:00",""
"154211816","48046296","2","","2018-01-01 00:00:00",""
"154211817","11693049","2","","2018-01-01 00:00:00",""
"154211818","12343735","2","","2018-01-01 00:00:00",""
"154211819","12343739","2","","2018-01-01 00:00:00",""
"154211820","12343714","2","","2018-01-01 00:00:00",""
"154211822","47862556","2","","2018-01-01 00:00:00",""
"154211823","47999091","10","","2018-01-01 00:00:00",""
"154211824","45608539","1","","2018-01-01 00:00:00",""
"154211825","48046232","10","","2018-01-01 00:00:00",""
"154211826","48046294","3","","2018-01-01 00:00:00",""
"154211828","47983979","2","","2018-01-01 00:00:00",""
"154211829","48042955","2","","2018-01-01 00:00:00",""
"154211830","47851323","2","","2018-01-01 00:00:00",""
"154211833","48042984","2","","2018-01-01 00:00:00",""
"154211835","48042982","2","","2018-01-01 00:00:00",""
"154211836","11730392","2","","2018-01-01 00:00:00",""
"154211837","48045967","3","","2018-01-01 00:00:00",""
"154211838","2968220","2","","2018-01-01 00:00:00",""
"154211839","2968404","2","","2018-01-01 00:00:00",""
"154211840","48046088","2","","2018-01-01 00:00:00",""
"154211841","48019103","10","","2018-01-01 00:00:00",""
"154211843","48044218","2","","2018-01-01 00:00:00",""
"154211844","8639921","2","","2018-01-01 00:00:00",""
"154211845","48046346","1","","2018-01-01 00:00:00",""
"154211846","21185247","2","","2018-01-01 00:00:00",""
"154211847","44912203","3","","2018-01-01 00:00:00",""
"154211848","48034774","2","","2018-01-01 00:00:00",""
"154211849","48045109","3","","2018-01-01 00:00:00",""
"154211850","20686389","2","","2018-01-01 00:00:00",""
"154211851","38852262","2","","2018-01-01 00:00:00",""
"154211852","4389932","2","","2018-01-01 00:00:00",""
"154211853","37906632","2","","2018-01-01 00:00:00",""
"154211854","45506281","2","","2018-01-01 00:00:00",""
"154211855","21185246","2","","2018-01-01 00:00:00",""
"154211856","48046232","10","","2018-01-01 00:00:00",""
"154211857","21185246","5","301278","2018-01-01 00:00:00",""
"154211859","22791898","2","","2018-01-01 00:00:00",""
"154211860","27942504","2","","2018-01-01 00:00:00",""
"154211861","29109569","2","","2018-01-01 00:00:00",""
"154211862","18744544","2","","2018-01-01 00:00:00",""
"154211863","43054927","2","","2018-01-01 00:00:00",""
"154211865","48046363","2","","2018-01-01 00:00:00",""
"154211866","48046346","2","","2018-01-01 00:00:00",""
"154211867","48039375","3","","2018-01-01 00:00:00",""
"154211868","47977032","15","","2018-01-01 00:00:00",""
"154211869","1887097","2","","2018-01-01 00:00:00",""
"154211870","24201042","2","","2018-01-01 00:00:00",""
"154211871","45287832","5","51061","2018-01-01 00:00:00",""
"154211872","1887097","5","8781554","2018-01-01 00:00:00",""
"154211873","24196689","2","","2018-01-01 00:00:00",""
"154211874","45287832","2","","2018-01-01 00:00:00",""
"154211875","48046306","2","","2018-01-01 00:00:00",""
"154211876","48042588","2","","2018-01-01 00:00:00",""
"154211877","48029309","2","","2018-01-01 00:00:00",""
"154211878","24030006","2","","2018-01-01 00:00:00",""
"154211879","24029990","2","","2018-01-01 00:00:00",""
"154211880","48046390","10","","2018-01-01 00:00:00",""
"154211881","22585222","3","","2018-01-01 00:00:00",""
"154211882","1887178","2","","2018-01-01 00:00:00",""
"154211883","21530768","2","","2018-01-01 00:00:00",""
"154211884","9704912","2","","2018-01-01 00:00:00",""
"154211886","39550994","2","","2018-01-01 00:00:00",""
"154211887","48046385","2","","2018-01-01 00:00:00",""
"154211888","21530577","2","","2018-01-01 00:00:00",""
"154211889","21530577","5","813385","2018-01-01 00:00:00",""
"154211890","48040288","1","","2018-01-01 00:00:00",""
"154211891","146297","5","176304","2018-01-01 00:00:00",""
"154211892","1625681","2","","2018-01-01 00:00:00",""
"154211893","48042668","2","","2018-01-01 00:00:00",""
"154211894","48046403","2","","2018-01-01 00:00:00",""
"154211895","3430810","5","418599","2018-01-01 00:00:00",""
"154211896","3430810","2","","2018-01-01 00:00:00",""
"154211899","45683866","2","","2018-01-01 00:00:00",""
"154211900","48046389","3","","2018-01-01 00:00:00",""
"154211901","45334411","2","","2018-01-01 00:00:00",""
"154211902","48044558","2","","2018-01-01 00:00:00",""
"154211904","48045728","16","","2018-01-01 00:00:00",""
"154211905","22701462","2","","2018-01-01 00:00:00",""
"154211906","48046380","1","","2018-01-01 00:00:00",""
"154211907","10873843","2","","2018-01-01 00:00:00",""
"154211908","5238524","2","","2018-01-01 00:00:00",""
"154211909","46846691","2","","2018-01-01 00:00:00",""
"154211910","48045680","1","","2018-01-01 00:00:00",""
"154211911","48046385","2","","2018-01-01 00:00:00",""
"154211912","48046320","3","","2018-01-01 00:00:00",""
"154211913","48042596","2","","2018-01-01 00:00:00",""
"154211917","48046398","2","","2018-01-01 00:00:00",""
"154211918","48016656","10","","2018-01-01 00:00:00",""
"154211919","48042588","1","","2018-01-01 00:00:00",""
"154211920","48046363","2","","2018-01-01 00:00:00",""
"154211921","40782483","2","","2018-01-01 00:00:00",""
